metric,percent,context,source
遇到问题第一反应求助AI,65.9,大学生问题求助路径,China Youth Daily x Soul
用于学术或专业咨询,58.1,大学生主要使用场景,China Youth Daily x Soul
用于情感陪伴或解压,45.3,大学生主要使用场景,China Youth Daily x Soul
